Year,Інфекційні захворювання,Вік,Область,Value
2017,ill_10_haemophilic_infection,1 рік,Чернівецька,11.2
2017,ill_10_haemophilic_infection,до 1 року,Чернігівська,21.3
2017,ill_10_haemophilic_infection,1 рік,Чернігівська,21.1
2017,ill_10_haemophilic_infection,до 1 року,місто Київ,80.5
2017,ill_10_haemophilic_infection,1 рік,місто Київ,73.9
2018,ill_10_haemophilic_infection,до 1 року,,52.5
2018,ill_10_haemophilic_infection,1 рік,,57.7
2018,ill_10_haemophilic_infection,до 1 року,Вінницька,50.8
2018,ill_10_haemophilic_infection,1 рік,Вінницька,54.5
2018,ill_10_haemophilic_infection,до 1 року,Волинська,30.0
2018,ill_10_haemophilic_infection,1 рік,Волинська,51.1
2018,ill_10_haemophilic_infection,до 1 року,Дніпропетровська,53.6
2018,ill_10_haemophilic_infection,1 рік,Дніпропетровська,64.1
2018,ill_10_haemophilic_infection,до 1 року,Донецька,36.0
2018,ill_10_haemophilic_infection,1 рік,Донецька,54.7
2018,ill_10_haemophilic_infection,до 1 року,Житомирська,36.5
2018,ill_10_haemophilic_infection,1 рік,Житомирська,60.7
2018,ill_10_haemophilic_infection,до 1 року,Закарпатська,69.3
2018,ill_10_haemophilic_infection,1 рік,Закарпатська,51.2
2018,ill_10_haemophilic_infection,до 1 року,Запорізька,63.7
2018,ill_10_haemophilic_infection,1 рік,Запорізька,75.2
2018,ill_10_haemophilic_infection,до 1 року,18_reg_Ivano_Frankivsk,34.2
2018,ill_10_haemophilic_infection,1 рік,18_reg_Ivano_Frankivsk,36.9
2018,ill_10_haemophilic_infection,до 1 року,Київська,61.9
2018,ill_10_haemophilic_infection,1 рік,Київська,61.5
2018,ill_10_haemophilic_infection,до 1 року,Кіровоградська,56.2
2018,ill_10_haemophilic_infection,1 рік,Кіровоградська,74.3
2018,ill_10_haemophilic_infection,до 1 року,Луганська,66.7
2018,ill_10_haemophilic_infection,1 рік,Луганська,93.9
2018,ill_10_haemophilic_infection,до 1 року,Львівська,65.2
2018,ill_10_haemophilic_infection,1 рік,Львівська,62.4
2018,ill_10_haemophilic_infection,до 1 року,23_reg_Mykolaiv,63.4
2018,ill_10_haemophilic_infection,1 рік,23_reg_Mykolaiv,68.7
2018,ill_10_haemophilic_infection,до 1 року,Одеська,36.4
2018,ill_10_haemophilic_infection,1 рік,Одеська,39.8
2018,ill_10_haemophilic_infection,до 1 року,Полтавська,77.6
2018,ill_10_haemophilic_infection,1 рік,Полтавська,83.7
2018,ill_10_haemophilic_infection,до 1 року,Рівненська,41.5
2018,ill_10_haemophilic_infection,1 рік,Рівненська,60.0
2018,ill_10_haemophilic_infection,до 1 року,Сумська,64.3
2018,ill_10_haemophilic_infection,1 рік,Сумська,63.8
2018,ill_10_haemophilic_infection,до 1 року,Тернопільська,40.3
2018,ill_10_haemophilic_infection,1 рік,Тернопільська,36.0
2018,ill_10_haemophilic_infection,до 1 року,Харківська,56.1
2018,ill_10_haemophilic_infection,1 рік,Харківська,66.7
2018,ill_10_haemophilic_infection,до 1 року,Херсонська,40.9
2018,ill_10_haemophilic_infection,1 рік,Херсонська,66.0
2018,ill_10_haemophilic_infection,до 1 року,31_reg_Khmelnytskyi,43.2
2018,ill_10_haemophilic_infection,1 рік,31_reg_Khmelnytskyi,32.0
2018,ill_10_haemophilic_infection,до 1 року,Черкаська,68.2
2018,ill_10_haemophilic_infection,1 рік,Черкаська,68.4
2018,ill_10_haemophilic_infection,до 1 року,Чернівецька,42.5
2018,ill_10_haemophilic_infection,1 рік,Чернівецька,40.2
2018,ill_10_haemophilic_infection,до 1 року,Чернігівська,59.8
2018,ill_10_haemophilic_infection,1 рік,Чернігівська,76.5
2018,ill_10_haemophilic_infection,до 1 року,місто Київ,58.6
2018,ill_10_haemophilic_infection,1 рік,місто Київ,46.9
2019,ill_10_haemophilic_infection,до 1 року,,76.5
2019,ill_10_haemophilic_infection,1 рік,,80.0
2019,ill_10_haemophilic_infection,до 1 року,Вінницька,79.1
2019,ill_10_haemophilic_infection,1 рік,Вінницька,76.5
2019,ill_10_haemophilic_infection,до 1 року,Волинська,65.5
2019,ill_10_haemophilic_infection,1 рік,Волинська,74.8
2019,ill_10_haemophilic_infection,до 1 року,Дніпропетровська,78.1
2019,ill_10_haemophilic_infection,1 рік,Дніпропетровська,86.0
2019,ill_10_haemophilic_infection,до 1 року,Донецька,65.2
2019,ill_10_haemophilic_infection,1 рік,Донецька,67.2
2019,ill_10_haemophilic_infection,до 1 року,Житомирська,80.6
2019,ill_10_haemophilic_infection,1 рік,Житомирська,84.0
2019,ill_10_haemophilic_infection,до 1 року,Закарпатська,59.4
2019,ill_10_haemophilic_infection,1 рік,Закарпатська,69.3
2019,ill_10_haemophilic_infection,до 1 року,Запорізька,77.8
2019,ill_10_haemophilic_infection,1 рік,Запорізька,84.4
2019,ill_10_haemophilic_infection,до 1 року,18_reg_Ivano_Frankivsk,64.8
2019,ill_10_haemophilic_infection,1 рік,18_reg_Ivano_Frankivsk,62.5
2019,ill_10_haemophilic_infection,до 1 року,Київська,78.4
2019,ill_10_haemophilic_infection,1 рік,Київська,83.8
2019,ill_10_haemophilic_infection,до 1 року,Кіровоградська,71.7
2019,ill_10_haemophilic_infection,1 рік,Кіровоградська,85.2
2019,ill_10_haemophilic_infection,до 1 року,Луганська,90.1
2019,ill_10_haemophilic_infection,1 рік,Луганська,98.7
2019,ill_10_haemophilic_infection,до 1 року,Львівська,81.5
2019,ill_10_haemophilic_infection,1 рік,Львівська,80.9
2019,ill_10_haemophilic_infection,до 1 року,23_reg_Mykolaiv,84.3
2019,ill_10_haemophilic_infection,1 рік,23_reg_Mykolaiv,85.4
2019,ill_10_haemophilic_infection,до 1 року,Одеська,66.6
2019,ill_10_haemophilic_infection,1 рік,Одеська,70.8
2019,ill_10_haemophilic_infection,до 1 року,Полтавська,94.4
2019,ill_10_haemophilic_infection,1 рік,Полтавська,92.4
2019,ill_10_haemophilic_infection,до 1 року,Рівненська,69.2
2019,ill_10_haemophilic_infection,1 рік,Рівненська,68.8
2019,ill_10_haemophilic_infection,до 1 року,Сумська,77.4
2019,ill_10_haemophilic_infection,1 рік,Сумська,78.2
2019,ill_10_haemophilic_infection,до 1 року,Тернопільська,74.2
2019,ill_10_haemophilic_infection,1 рік,Тернопільська,79.7
2019,ill_10_haemophilic_infection,до 1 року,Харківська,77.1
2019,ill_10_haemophilic_infection,1 рік,Харківська,87.5
2019,ill_10_haemophilic_infection,до 1 року,Херсонська,78.8
2019,ill_10_haemophilic_infection,1 рік,Херсонська,91.4
2019,ill_10_haemophilic_infection,до 1 року,31_reg_Khmelnytskyi,67.3
2019,ill_10_haemophilic_infection,1 рік,31_reg_Khmelnytskyi,55.5
2019,ill_10_haemophilic_infection,до 1 року,Черкаська,86.6
2019,ill_10_haemophilic_infection,1 рік,Черкаська,91.4
2019,ill_10_haemophilic_infection,до 1 року,Чернівецька,87.5
2019,ill_10_haemophilic_infection,1 рік,Чернівецька,88.5
2019,ill_10_haemophilic_infection,до 1 року,Чернігівська,84.5
2019,ill_10_haemophilic_infection,1 рік,Чернігівська,85.3
2019,ill_10_haemophilic_infection,до 1 року,місто Київ,84.4
2019,ill_10_haemophilic_infection,1 рік,місто Київ,86.4
2020,ill_10_haemophilic_infection,до 1 року,,85.1
2020,ill_10_haemophilic_infection,1 рік,,83.6
2020,ill_10_haemophilic_infection,до 1 року,Вінницька,83.7
2020,ill_10_haemophilic_infection,1 рік,Вінницька,86.4
2020,ill_10_haemophilic_infection,до 1 року,Волинська,76.5
2020,ill_10_haemophilic_infection,1 рік,Волинська,73.2
2020,ill_10_haemophilic_infection,до 1 року,Дніпропетровська,86.1
2020,ill_10_haemophilic_infection,1 рік,Дніпропетровська,86.5
2020,ill_10_haemophilic_infection,до 1 року,Донецька,76.7
2020,ill_10_haemophilic_infection,1 рік,Донецька,74.1
2020,ill_10_haemophilic_infection,до 1 року,Житомирська,84.2
2020,ill_10_haemophilic_infection,1 рік,Житомирська,77.2
2020,ill_10_haemophilic_infection,до 1 року,Закарпатська,92.9
2020,ill_10_haemophilic_infection,1 рік,Закарпатська,88.9
2020,ill_10_haemophilic_infection,до 1 року,Запорізька,77.9
2020,ill_10_haemophilic_infection,1 рік,Запорізька,83.2
2020,ill_10_haemophilic_infection,до 1 року,18_reg_Ivano_Frankivsk,78.6
2020,ill_10_haemophilic_infection,1 рік,18_reg_Ivano_Frankivsk,74.7
2020,ill_10_haemophilic_infection,до 1 року,Київська,90.2
2020,ill_10_haemophilic_infection,1 рік,Київська,89.0
2020,ill_10_haemophilic_infection,до 1 року,Кіровоградська,89.3
2020,ill_10_haemophilic_infection,1 рік,Кіровоградська,100.0
2020,ill_10_haemophilic_infection,до 1 року,Луганська,90.2
2020,ill_10_haemophilic_infection,1 рік,Луганська,94.9
2020,ill_10_haemophilic_infection,до 1 року,Львівська,83.2
2020,ill_10_haemophilic_infection,1 рік,Львівська,85.5
2020,ill_10_haemophilic_infection,до 1 року,23_reg_Mykolaiv,89.3
2020,ill_10_haemophilic_infection,1 рік,23_reg_Mykolaiv,85.1
2020,ill_10_haemophilic_infection,до 1 року,Одеська,75.0
2020,ill_10_haemophilic_infection,1 рік,Одеська,66.7
2020,ill_10_haemophilic_infection,до 1 року,Полтавська,91.2
2020,ill_10_haemophilic_infection,1 рік,Полтавська,90.3
2020,ill_10_haemophilic_infection,до 1 року,Рівненська,78.5
2020,ill_10_haemophilic_infection,1 рік,Рівненська,80.4
2020,ill_10_haemophilic_infection,до 1 року,Сумська,88.9
2020,ill_10_haemophilic_infection,1 рік,Сумська,88.9
2020,ill_10_haemophilic_infection,до 1 року,Тернопільська,85.0
2020,ill_10_haemophilic_infection,1 рік,Тернопільська,96.0
2020,ill_10_haemophilic_infection,до 1 року,Харківська,87.7
2020,ill_10_haemophilic_infection,1 рік,Харківська,92.6
2020,ill_10_haemophilic_infection,до 1 року,Херсонська,79.8
2020,ill_10_haemophilic_infection,1 рік,Херсонська,83.8
2020,ill_10_haemophilic_infection,до 1 року,31_reg_Khmelnytskyi,79.9
2020,ill_10_haemophilic_infection,1 рік,31_reg_Khmelnytskyi,69.5
2020,ill_10_haemophilic_infection,до 1 року,Черкаська,92.1
2020,ill_10_haemophilic_infection,1 рік,Черкаська,92.9
2020,ill_10_haemophilic_infection,до 1 року,Чернівецька,79.8
2020,ill_10_haemophilic_infection,1 рік,Чернівецька,76.3
2020,ill_10_haemophilic_infection,до 1 року,Чернігівська,81.4
2020,ill_10_haemophilic_infection,1 рік,Чернігівська,68.3
2020,ill_10_haemophilic_infection,до 1 року,місто Київ,99.0
2020,ill_10_haemophilic_infection,1 рік,місто Київ,91.3
2021,ill_10_haemophilic_infection,до 1 року,,90.9
2021,ill_10_haemophilic_infection,1 рік,,87.0
2021,ill_10_haemophilic_infection,до 1 року,Вінницька,86.2
2021,ill_10_haemophilic_infection,1 рік,Вінницька,80.6
2021,ill_10_haemophilic_infection,до 1 року,Волинська,78.3
2021,ill_10_haemophilic_infection,1 рік,Волинська,72.8
2021,ill_10_haemophilic_infection,до 1 року,Дніпропетровська,97.8
2021,ill_10_haemophilic_infection,1 рік,Дніпропетровська,99.9
2021,ill_10_haemophilic_infection,до 1 року,Донецька,86.3
2021,ill_10_haemophilic_infection,1 рік,Донецька,83.2
2021,ill_10_haemophilic_infection,до 1 року,Житомирська,92.3
2021,ill_10_haemophilic_infection,1 рік,Житомирська,82.0
2021,ill_10_haemophilic_infection,до 1 року,Закарпатська,71.2
2021,ill_10_haemophilic_infection,1 рік,Закарпатська,63.0
2021,ill_10_haemophilic_infection,до 1 року,Запорізька,82.5
2021,ill_10_haemophilic_infection,1 рік,Запорізька,71.6
2021,ill_10_haemophilic_infection,до 1 року,18_reg_Ivano_Frankivsk,92.2
2021,ill_10_haemophilic_infection,1 рік,18_reg_Ivano_Frankivsk,78.0
2021,ill_10_haemophilic_infection,до 1 року,Київська,93.5
2021,ill_10_haemophilic_infection,1 рік,Київська,91.7
2021,ill_10_haemophilic_infection,до 1 року,Кіровоградська,92.1
2021,ill_10_haemophilic_infection,1 рік,Кіровоградська,98.9
2021,ill_10_haemophilic_infection,до 1 року,Луганська,88.1
2021,ill_10_haemophilic_infection,1 рік,Луганська,96.1
2021,ill_10_haemophilic_infection,до 1 року,Львівська,92.7
2021,ill_10_haemophilic_infection,1 рік,Львівська,89.6
2021,ill_10_haemophilic_infection,до 1 року,23_reg_Mykolaiv,100.0
2021,ill_10_haemophilic_infection,1 рік,23_reg_Mykolaiv,98.1
2021,ill_10_haemophilic_infection,до 1 року,Одеська,98.1
2021,ill_10_haemophilic_infection,1 рік,Одеська,99.9
2021,ill_10_haemophilic_infection,до 1 року,Полтавська,93.1
2021,ill_10_haemophilic_infection,1 рік,Полтавська,94.5
2021,ill_10_haemophilic_infection,до 1 року,Рівненська,82.5
2021,ill_10_haemophilic_infection,1 рік,Рівненська,82.8
2021,ill_10_haemophilic_infection,до 1 року,Сумська,98.9
2021,ill_10_haemophilic_infection,1 рік,Сумська,98.6
2021,ill_10_haemophilic_infection,до 1 року,Тернопільська,83.2
2021,ill_10_haemophilic_infection,1 рік,Тернопільська,80.8
2021,ill_10_haemophilic_infection,до 1 року,Харківська,94.3
2021,ill_10_haemophilic_infection,1 рік,Харківська,93.0
2021,ill_10_haemophilic_infection,до 1 року,Херсонська,85.3
2021,ill_10_haemophilic_infection,1 рік,Херсонська,88.4
2021,ill_10_haemophilic_infection,до 1 року,31_reg_Khmelnytskyi,86.0
2021,ill_10_haemophilic_infection,1 рік,31_reg_Khmelnytskyi,69.9
2021,ill_10_haemophilic_infection,до 1 року,Черкаська,99.1
2021,ill_10_haemophilic_infection,1 рік,Черкаська,99.5
2021,ill_10_haemophilic_infection,до 1 року,Чернівецька,87.4
2021,ill_10_haemophilic_infection,1 рік,Чернівецька,84.2
2021,ill_10_haemophilic_infection,до 1 року,Чернігівська,81.9
2021,ill_10_haemophilic_infection,1 рік,Чернігівська,81.4
2021,ill_10_haemophilic_infection,до 1 року,місто Київ,100.0
2021,ill_10_haemophilic_infection,1 рік,місто Київ,88.4
2022,ill_10_haemophilic_infection,до 1 року,,74.0
2022,ill_10_haemophilic_infection,1 рік,,69.8
2022,ill_10_haemophilic_infection,до 1 року,Вінницька,76.0
2022,ill_10_haemophilic_infection,1 рік,Вінницька,74.7
2022,ill_10_haemophilic_infection,до 1 року,Волинська,81.6
2022,ill_10_haemophilic_infection,1 рік,Волинська,74.7
2022,ill_10_haemophilic_infection,до 1 року,Дніпропетровська,62.3
2022,ill_10_haemophilic_infection,1 рік,Дніпропетровська,66.1
2022,ill_10_haemophilic_infection,до 1 року,Донецька,76.3
2022,ill_10_haemophilic_infection,1 рік,Донецька,78.1
2022,ill_10_haemophilic_infection,до 1 року,Житомирська,75.0
2022,ill_10_haemophilic_infection,1 рік,Житомирська,69.2
2022,ill_10_haemophilic_infection,до 1 року,Закарпатська,80.1
2022,ill_10_haemophilic_infection,1 рік,Закарпатська,67.7
2022,ill_10_haemophilic_infection,до 1 року,Запорізька,59.4
2022,ill_10_haemophilic_infection,1 рік,Запорізька,55.1
2022,ill_10_haemophilic_infection,до 1 року,18_reg_Ivano_Frankivsk,70.1
2022,ill_10_haemophilic_infection,1 рік,18_reg_Ivano_Frankivsk,70.0
2022,ill_10_haemophilic_infection,до 1 року,Київська,85.2
2022,ill_10_haemophilic_infection,1 рік,Київська,83.1
2022,ill_10_haemophilic_infection,до 1 року,Кіровоградська,86.7
2022,ill_10_haemophilic_infection,1 рік,Кіровоградська,96.8
2022,ill_10_haemophilic_infection,до 1 року,Луганська,7.6
2022,ill_10_haemophilic_infection,1 рік,Луганська,8.0
2022,ill_10_haemophilic_infection,до 1 року,Львівська,78.9
2022,ill_10_haemophilic_infection,1 рік,Львівська,63.2
2022,ill_10_haemophilic_infection,до 1 року,23_reg_Mykolaiv,64.2
2022,ill_10_haemophilic_infection,1 рік,23_reg_Mykolaiv,63.2
2022,ill_10_haemophilic_infection,до 1 року,Одеська,74.0
2022,ill_10_haemophilic_infection,1 рік,Одеська,70.7
2022,ill_10_haemophilic_infection,до 1 року,Полтавська,94.9
2022,ill_10_haemophilic_infection,1 рік,Полтавська,93.4
2022,ill_10_haemophilic_infection,до 1 року,Рівненська,85.7
2022,ill_10_haemophilic_infection,1 рік,Рівненська,87.5
2022,ill_10_haemophilic_infection,до 1 року,Сумська,78.8
2022,ill_10_haemophilic_infection,1 рік,Сумська,82.1
2022,ill_10_haemophilic_infection,до 1 року,Тернопільська,71.1
2022,ill_10_haemophilic_infection,1 рік,Тернопільська,63.5
2022,ill_10_haemophilic_infection,до 1 року,Харківська,53.2
2022,ill_10_haemophilic_infection,1 рік,Харківська,44.7
2022,ill_10_haemophilic_infection,до 1 року,Херсонська,36.7
2022,ill_10_haemophilic_infection,1 рік,Херсонська,32.3
2022,ill_10_haemophilic_infection,до 1 року,31_reg_Khmelnytskyi,75.6
2022,ill_10_haemophilic_infection,1 рік,31_reg_Khmelnytskyi,76.9
2022,ill_10_haemophilic_infection,до 1 року,Черкаська,94.2
2022,ill_10_haemophilic_infection,1 рік,Черкаська,95.3
2022,ill_10_haemophilic_infection,до 1 року,Чернівецька,82.9
2022,ill_10_haemophilic_infection,1 рік,Чернівецька,70.5
2022,ill_10_haemophilic_infection,до 1 року,Чернігівська,76.6
2022,ill_10_haemophilic_infection,1 рік,Чернігівська,62.8
2022,ill_10_haemophilic_infection,до 1 року,місто Київ,81.9
2022,ill_10_haemophilic_infection,1 рік,місто Київ,77.1
2023,ill_10_haemophilic_infection,до 1 року,,86.4
2023,ill_10_haemophilic_infection,1 рік,,78.2
2023,ill_10_haemophilic_infection,до 1 року,Вінницька,86.1
2023,ill_10_haemophilic_infection,1 рік,Вінницька,87.8
2023,ill_10_haemophilic_infection,до 1 року,Волинська,76.2
2023,ill_10_haemophilic_infection,1 рік,Волинська,53.6
2023,ill_10_haemophilic_infection,до 1 року,Дніпропетровська,90.4
2023,ill_10_haemophilic_infection,1 рік,Дніпропетровська,89.8
2023,ill_10_haemophilic_infection,до 1 року,Донецька,93.0
2023,ill_10_haemophilic_infection,1 рік,Донецька,89.9
2023,ill_10_haemophilic_infection,до 1 року,Житомирська,95.4
2023,ill_10_haemophilic_infection,1 рік,Житомирська,70.7
2023,ill_10_haemophilic_infection,до 1 року,Закарпатська,81.3
2023,ill_10_haemophilic_infection,1 рік,Закарпатська,82.2
2023,ill_10_haemophilic_infection,до 1 року,Запорізька,100.0
2023,ill_10_haemophilic_infection,1 рік,Запорізька,99.1
2023,ill_10_haemophilic_infection,до 1 року,18_reg_Ivano_Frankivsk,62.6
2023,ill_10_haemophilic_infection,1 рік,18_reg_Ivano_Frankivsk,55.6
2023,ill_10_haemophilic_infection,до 1 року,Київська,87.3
2023,ill_10_haemophilic_infection,1 рік,Київська,82.6
2023,ill_10_haemophilic_infection,до 1 року,Кіровоградська,74.7
2023,ill_10_haemophilic_infection,1 рік,Кіровоградська,78.6
2023,ill_10_haemophilic_infection,до 1 року,Луганська,0.0
2023,ill_10_haemophilic_infection,1 рік,Луганська,0.0
2023,ill_10_haemophilic_infection,до 1 року,Львівська,90.9
2023,ill_10_haemophilic_infection,1 рік,Львівська,59.4
2023,ill_10_haemophilic_infection,до 1 року,23_reg_Mykolaiv,94.4
2023,ill_10_haemophilic_infection,1 рік,23_reg_Mykolaiv,96.2
2023,ill_10_haemophilic_infection,до 1 року,Одеська,78.1
2023,ill_10_haemophilic_infection,1 рік,Одеська,81.7
2023,ill_10_haemophilic_infection,до 1 року,Полтавська,88.7
2023,ill_10_haemophilic_infection,1 рік,Полтавська,78.5
2023,ill_10_haemophilic_infection,до 1 року,Рівненська,95.5
2023,ill_10_haemophilic_infection,1 рік,Рівненська,96.5
2023,ill_10_haemophilic_infection,до 1 року,Сумська,91.3
2023,ill_10_haemophilic_infection,1 рік,Сумська,91.7
2023,ill_10_haemophilic_infection,до 1 року,Тернопільська,87.9
2023,ill_10_haemophilic_infection,1 рік,Тернопільська,79.9
2023,ill_10_haemophilic_infection,до 1 року,Харківська,91.8
2023,ill_10_haemophilic_infection,1 рік,Харківська,94.5
2023,ill_10_haemophilic_infection,до 1 року,Херсонська,98.7
2023,ill_10_haemophilic_infection,1 рік,Херсонська,100.0
2023,ill_10_haemophilic_infection,до 1 року,31_reg_Khmelnytskyi,78.7
2023,ill_10_haemophilic_infection,1 рік,31_reg_Khmelnytskyi,55.9
2023,ill_10_haemophilic_infection,до 1 року,Черкаська,93.1
2023,ill_10_haemophilic_infection,1 рік,Черкаська,88.0
2023,ill_10_haemophilic_infection,до 1 року,Чернівецька,69.4
2023,ill_10_haemophilic_infection,1 рік,Чернівецька,54.7
2023,ill_10_haemophilic_infection,до 1 року,Чернігівська,88.2
2023,ill_10_haemophilic_infection,1 рік,Чернігівська,85.3
2023,ill_10_haemophilic_infection,до 1 року,місто Київ,100.0
2023,ill_10_haemophilic_infection,1 рік,місто Київ,86.0
2024,ill_10_haemophilic_infection,до 1 року,,94.63914970096992
2024,ill_10_haemophilic_infection,1 рік,,92.7314422761916
2024,ill_10_haemophilic_infection,до 1 року,Вінницька,98.1132075471698
2024,ill_10_haemophilic_infection,1 рік,Вінницька,83.19715340010544
2024,ill_10_haemophilic_infection,до 1 року,Волинська,94.46457035212288
2024,ill_10_haemophilic_infection,1 рік,Волинська,91.28562945368172
2024,ill_10_haemophilic_infection,до 1 року,Дніпропетровська,98.84792626728112
2024,ill_10_haemophilic_infection,1 рік,Дніпропетровська,99.54225352112675
2024,ill_10_haemophilic_infection,до 1 року,Донецька,99.58202716823406
2024,ill_10_haemophilic_infection,1 рік,Донецька,99.43609022556392
2024,ill_10_haemophilic_infection,до 1 року,Житомирська,98.57235561323816
2024,ill_10_haemophilic_infection,1 рік,Житомирська,99.17965545529124
2024,ill_10_haemophilic_infection,до 1 року,Закарпатська,85.7066808623902
2024,ill_10_haemophilic_infection,1 рік,Закарпатська,83.63929546018358
2024,ill_10_haemophilic_infection,до 1 року,Запорізька,99.48339483394834
2024,ill_10_haemophilic_infection,1 рік,Запорізька,99.39690915944212
2024,ill_10_haemophilic_infection,до 1 року,18_reg_Ivano_Frankivsk,92.43250804308296
2024,ill_10_haemophilic_infection,1 рік,18_reg_Ivano_Frankivsk,91.90121412803532
2024,ill_10_haemophilic_infection,до 1 року,Київська,90.85193057031526
2024,ill_10_haemophilic_infection,1 рік,Київська,91.78526391641144
2024,ill_10_haemophilic_infection,до 1 року,Кіровоградська,88.33333333333333
2024,ill_10_haemophilic_infection,1 рік,Кіровоградська,97.48826291079811
2024,ill_10_haemophilic_infection,до 1 року,Луганська,0.0
2024,ill_10_haemophilic_infection,1 рік,Луганська,0.0
2024,ill_10_haemophilic_infection,до 1 року,Львівська,97.21816491833754
2024,ill_10_haemophilic_infection,1 рік,Львівська,95.1862912400455
2024,ill_10_haemophilic_infection,до 1 року,23_reg_Mykolaiv,97.69595662977186
2024,ill_10_haemophilic_infection,1 рік,23_reg_Mykolaiv,100.0
2024,ill_10_haemophilic_infection,до 1 року,Одеська,88.95037177935328
2024,ill_10_haemophilic_infection,1 рік,Одеська,88.13764482102715
2024,ill_10_haemophilic_infection,до 1 року,Полтавська,93.47079037800688
2024,ill_10_haemophilic_infection,1 рік,Полтавська,86.35243882410904
2024,ill_10_haemophilic_infection,до 1 року,Рівненська,94.86256151722482
2024,ill_10_haemophilic_infection,1 рік,Рівненська,96.53102868803263
2024,ill_10_haemophilic_infection,до 1 року,Сумська,93.35576114381834
2024,ill_10_haemophilic_infection,1 рік,Сумська,94.5503355704698
2024,ill_10_haemophilic_infection,до 1 року,Тернопільська,99.93201903467028
2024,ill_10_haemophilic_infection,1 рік,Тернопільська,94.67713787085516
2024,ill_10_haemophilic_infection,до 1 року,Харківська,99.32203389830508
2024,ill_10_haemophilic_infection,1 рік,Харківська,96.11976779712802
2024,ill_10_haemophilic_infection,до 1 року,Херсонська,100.0
2024,ill_10_haemophilic_infection,1 рік,Херсонська,98.3451536643026
2024,ill_10_haemophilic_infection,до 1 року,31_reg_Khmelnytskyi,92.37116612174997
2024,ill_10_haemophilic_infection,1 рік,31_reg_Khmelnytskyi,91.76579638498376
2024,ill_10_haemophilic_infection,до 1 року,Черкаська,94.7226502311248
2024,ill_10_haemophilic_infection,1 рік,Черкаська,95.59341950646298
2024,ill_10_haemophilic_infection,до 1 року,Чернівецька,81.19105833042263
2024,ill_10_haemophilic_infection,1 рік,Чернівецька,82.7657025500599
2024,ill_10_haemophilic_infection,до 1 року,Чернігівська,99.66712898751734
2024,ill_10_haemophilic_infection,1 рік,Чернігівська,100.0
2024,ill_10_haemophilic_infection,до 1 року,місто Київ,99.92795860894624
2024,ill_10_haemophilic_infection,1 рік,місто Київ,91.84749543703104
2015,"Дифтерія, правець",age_16_years,,1.8
2015,"Дифтерія, правець",age_16_years,Вінницька,0.0
2015,"Дифтерія, правець",age_16_years,Волинська,0.0
2015,"Дифтерія, правець",age_16_years,Дніпропетровська,3.2
2015,"Дифтерія, правець",age_16_years,Донецька,1.5
2015,"Дифтерія, правець",age_16_years,Житомирська,0.1
2015,"Дифтерія, правець",age_16_years,Закарпатська,0.0
2015,"Дифтерія, правець",age_16_years,Запорізька,4.9
2015,"Дифтерія, правець",age_16_years,18_reg_Ivano_Frankivsk,0.0
2015,"Дифтерія, правець",age_16_years,19_reg_Kyivska,3.6
2015,"Дифтерія, правець",age_16_years,Кіровоградська,0.0
2015,"Дифтерія, правець",age_16_years,Луганська,1.5367877056983543
2015,"Дифтерія, правець",age_16_years,Львівська,0.0
2015,"Дифтерія, правець",age_16_years,23_reg_Mykolaiv,0.0
2015,"Дифтерія, правець",age_16_years,Одеська,9.1
2015,"Дифтерія, правець",age_16_years,Полтавська,0.0
2015,"Дифтерія, правець",age_16_years,Рівненська,0.0
2015,"Дифтерія, правець",age_16_years,Сумська,0.5
2015,"Дифтерія, правець",age_16_years,Тернопільська,0.0
2015,"Дифтерія, правець",age_16_years,Харківська,6.9
2015,"Дифтерія, правець",age_16_years,Херсонська,0.0
2015,"Дифтерія, правець",age_16_years,31_reg_Khmelnytskyy,0.0
2015,"Дифтерія, правець",age_16_years,Черкаська,5.0
2015,"Дифтерія, правець",age_16_years,Чернівецька,0.2
2015,"Дифтерія, правець",age_16_years,Чернігівська,0.0
2015,"Дифтерія, правець",age_16_years,35_reg_Kyiv,7.5
2016,"Дифтерія, правець",age_16_years,,55.9
2016,"Дифтерія, правець",age_16_years,Вінницька,63.4
2016,"Дифтерія, правець",age_16_years,Волинська,42.4
2016,"Дифтерія, правець",age_16_years,Дніпропетровська,76.4
2016,"Дифтерія, правець",age_16_years,Донецька,55.4
2016,"Дифтерія, правець",age_16_years,Житомирська,72.4
2016,"Дифтерія, правець",age_16_years,Закарпатська,30.6
2016,"Дифтерія, правець",age_16_years,Запорізька,34.6
2016,"Дифтерія, правець",age_16_years,18_reg_Ivano_Frankivsk,37.5
2016,"Дифтерія, правець",age_16_years,19_reg_Kyivska,70.4
2016,"Дифтерія, правець",age_16_years,Кіровоградська,59.5
2016,"Дифтерія, правець",age_16_years,Луганська,43.72681049883194
2016,"Дифтерія, правець",age_16_years,Львівська,51.3
2016,"Дифтерія, правець",age_16_years,23_reg_Mykolaiv,72.1
2016,"Дифтерія, правець",age_16_years,Одеська,58.6
2016,"Дифтерія, правець",age_16_years,Полтавська,51.5
2016,"Дифтерія, правець",age_16_years,Рівненська,63.0
2016,"Дифтерія, правець",age_16_years,Сумська,52.4
2016,"Дифтерія, правець",age_16_years,Тернопільська,46.4
2016,"Дифтерія, правець",age_16_years,Харківська,62.8
2016,"Дифтерія, правець",age_16_years,Херсонська,76.9
