Year,Види економічної діяльності,Організаційно-правові форми господарювання,Область,Кількість найманих працівників,Value
2019,Діяльність страхових агентів і брокерів,,,,
2020,Діяльність страхових агентів і брокерів,,,,
2021,Діяльність страхових агентів і брокерів,,,,34.9
2022,Діяльність страхових агентів і брокерів,,,,35.2
2023,Діяльність страхових агентів і брокерів,,,,34.4
2024,Діяльність страхових агентів і брокерів,,,,34.2
2015,Інша допоміжна діяльність у сфері страхування та пенсійного забезпечення,,,,
2016,Інша допоміжна діяльність у сфері страхування та пенсійного забезпечення,,,,
2017,Інша допоміжна діяльність у сфері страхування та пенсійного забезпечення,,,,
2018,Інша допоміжна діяльність у сфері страхування та пенсійного забезпечення,,,,
2019,Інша допоміжна діяльність у сфері страхування та пенсійного забезпечення,,,,
2020,Інша допоміжна діяльність у сфері страхування та пенсійного забезпечення,,,,
2021,Інша допоміжна діяльність у сфері страхування та пенсійного забезпечення,,,,43.6
2022,Інша допоміжна діяльність у сфері страхування та пенсійного забезпечення,,,,39.5
2023,Інша допоміжна діяльність у сфері страхування та пенсійного забезпечення,,,,41.9
2024,Інша допоміжна діяльність у сфері страхування та пенсійного забезпечення,,,,59.1
2015,Управління фондами,,,,
2016,Управління фондами,,,,
2017,Управління фондами,,,,
2018,Управління фондами,,,,
2019,Управління фондами,,,,
2020,Управління фондами,,,,
2021,Управління фондами,,,,42.5
2022,Управління фондами,,,,37.9
2023,Управління фондами,,,,39.0
2024,Управління фондами,,,,41.1
2015,Купівля та продаж власного нерухомого майна,,,,
2016,Купівля та продаж власного нерухомого майна,,,,
2017,Купівля та продаж власного нерухомого майна,,,,
2018,Купівля та продаж власного нерухомого майна,,,,
2019,Купівля та продаж власного нерухомого майна,,,,
2020,Купівля та продаж власного нерухомого майна,,,,
2021,Купівля та продаж власного нерухомого майна,,,,30.8
2022,Купівля та продаж власного нерухомого майна,,,,31.2
2023,Купівля та продаж власного нерухомого майна,,,,31.1
2024,Купівля та продаж власного нерухомого майна,,,,33.6
2015,Надання в оренду й експлуатацію  власного чи орендованого нерухомого майна,,,,
2016,Надання в оренду й експлуатацію  власного чи орендованого нерухомого майна,,,,
2017,Надання в оренду й експлуатацію  власного чи орендованого нерухомого майна,,,,
2018,Надання в оренду й експлуатацію  власного чи орендованого нерухомого майна,,,,
2019,Надання в оренду й експлуатацію  власного чи орендованого нерухомого майна,,,,
2020,Надання в оренду й експлуатацію  власного чи орендованого нерухомого майна,,,,
2021,Надання в оренду й експлуатацію  власного чи орендованого нерухомого майна,,,,37.3
2022,Надання в оренду й експлуатацію  власного чи орендованого нерухомого майна,,,,37.2
2023,Надання в оренду й експлуатацію  власного чи орендованого нерухомого майна,,,,37.8
2024,Надання в оренду й експлуатацію  власного чи орендованого нерухомого майна,,,,39.7
2015,Агентства нерухомості,,,,
2016,Агентства нерухомості,,,,
2017,Агентства нерухомості,,,,
2018,Агентства нерухомості,,,,
2019,Агентства нерухомості,,,,
2020,Агентства нерухомості,,,,
2021,Агентства нерухомості,,,,41.7
2022,Агентства нерухомості,,,,41.4
2023,Агентства нерухомості,,,,42.0
2024,Агентства нерухомості,,,,42.4
2015,Управління нерухомим майном за винагороду або на основі контракту,,,,
2016,Управління нерухомим майном за винагороду або на основі контракту,,,,
2017,Управління нерухомим майном за винагороду або на основі контракту,,,,
2018,Управління нерухомим майном за винагороду або на основі контракту,,,,
2019,Управління нерухомим майном за винагороду або на основі контракту,,,,
2020,Управління нерухомим майном за винагороду або на основі контракту,,,,
2021,Управління нерухомим майном за винагороду або на основі контракту,,,,42.7
2022,Управління нерухомим майном за винагороду або на основі контракту,,,,42.8
2023,Управління нерухомим майном за винагороду або на основі контракту,,,,42.9
2024,Управління нерухомим майном за винагороду або на основі контракту,,,,43.5
2015,Діяльність у сфері права,,,,
2016,Діяльність у сфері права,,,,
2017,Діяльність у сфері права,,,,
2018,Діяльність у сфері права,,,,
2019,Діяльність у сфері права,,,,
2020,Діяльність у сфері права,,,,
2021,Діяльність у сфері права,,,,36.4
2022,Діяльність у сфері права,,,,38.3
2023,Діяльність у сфері права,,,,37.3
2024,Діяльність у сфері права,,,,38.3
2015,Діяльність у сфері бухгалтерського обліку й аудиту; консультування з питань оподаткування,,,,
2016,Діяльність у сфері бухгалтерського обліку й аудиту; консультування з питань оподаткування,,,,
2017,Діяльність у сфері бухгалтерського обліку й аудиту; консультування з питань оподаткування,,,,
2018,Діяльність у сфері бухгалтерського обліку й аудиту; консультування з питань оподаткування,,,,
2019,Діяльність у сфері бухгалтерського обліку й аудиту; консультування з питань оподаткування,,,,
2020,Діяльність у сфері бухгалтерського обліку й аудиту; консультування з питань оподаткування,,,,
2021,Діяльність у сфері бухгалтерського обліку й аудиту; консультування з питань оподаткування,,,,67.4
2022,Діяльність у сфері бухгалтерського обліку й аудиту; консультування з питань оподаткування,,,,67.7
2023,Діяльність у сфері бухгалтерського обліку й аудиту; консультування з питань оподаткування,,,,67.9
2024,Діяльність у сфері бухгалтерського обліку й аудиту; консультування з питань оподаткування,,,,69.2
2015,Діяльність головних управлінь (хед-офісів),,,,
2016,Діяльність головних управлінь (хед-офісів),,,,
2017,Діяльність головних управлінь (хед-офісів),,,,
2018,Діяльність головних управлінь (хед-офісів),,,,
2019,Діяльність головних управлінь (хед-офісів),,,,
2020,Діяльність головних управлінь (хед-офісів),,,,
2021,Діяльність головних управлінь (хед-офісів),,,,23.6
2022,Діяльність головних управлінь (хед-офісів),,,,20.9
2023,Діяльність головних управлінь (хед-офісів),,,,22.0
2024,Діяльність головних управлінь (хед-офісів),,,,23.8
2015,Діяльність у сфері зв'язків із громадськістю,,,,
2016,Діяльність у сфері зв'язків із громадськістю,,,,
2017,Діяльність у сфері зв'язків із громадськістю,,,,
2018,Діяльність у сфері зв'язків із громадськістю,,,,
2019,Діяльність у сфері зв'язків із громадськістю,,,,
2020,Діяльність у сфері зв'язків із громадськістю,,,,
2021,Діяльність у сфері зв'язків із громадськістю,,,,44.6
2022,Діяльність у сфері зв'язків із громадськістю,,,,48.5
2023,Діяльність у сфері зв'язків із громадськістю,,,,50.4
2024,Діяльність у сфері зв'язків із громадськістю,,,,50.4
2015,Консультування з питань комерційної діяльності й керування,,,,
2016,Консультування з питань комерційної діяльності й керування,,,,
2017,Консультування з питань комерційної діяльності й керування,,,,
2018,Консультування з питань комерційної діяльності й керування,,,,
2019,Консультування з питань комерційної діяльності й керування,,,,
2020,Консультування з питань комерційної діяльності й керування,,,,
2021,Консультування з питань комерційної діяльності й керування,,,,36.3
2022,Консультування з питань комерційної діяльності й керування,,,,36.7
2023,Консультування з питань комерційної діяльності й керування,,,,36.8
2024,Консультування з питань комерційної діяльності й керування,,,,39.7
2015,Діяльність у сфері архітектури,,,,
2016,Діяльність у сфері архітектури,,,,
2017,Діяльність у сфері архітектури,,,,
2018,Діяльність у сфері архітектури,,,,
2019,Діяльність у сфері архітектури,,,,
2020,Діяльність у сфері архітектури,,,,
2021,Діяльність у сфері архітектури,,,,29.3
2022,Діяльність у сфері архітектури,,,,29.2
2023,Діяльність у сфері архітектури,,,,28.0
2024,Діяльність у сфері архітектури,,,,30.3
2015,"Діяльність у сфері інжинірингу, геології та геодезії, надання послуг технічного консультування в цих сферах",,,,
2016,"Діяльність у сфері інжинірингу, геології та геодезії, надання послуг технічного консультування в цих сферах",,,,
2017,"Діяльність у сфері інжинірингу, геології та геодезії, надання послуг технічного консультування в цих сферах",,,,
2018,"Діяльність у сфері інжинірингу, геології та геодезії, надання послуг технічного консультування в цих сферах",,,,
2019,"Діяльність у сфері інжинірингу, геології та геодезії, надання послуг технічного консультування в цих сферах",,,,
2020,"Діяльність у сфері інжинірингу, геології та геодезії, надання послуг технічного консультування в цих сферах",,,,
2021,"Діяльність у сфері інжинірингу, геології та геодезії, надання послуг технічного консультування в цих сферах",,,,25.2
2022,"Діяльність у сфері інжинірингу, геології та геодезії, надання послуг технічного консультування в цих сферах",,,,25.2
2023,"Діяльність у сфері інжинірингу, геології та геодезії, надання послуг технічного консультування в цих сферах",,,,25.0
2024,"Діяльність у сфері інжинірингу, геології та геодезії, надання послуг технічного консультування в цих сферах",,,,26.8
2015,Технічні випробування та дослідження,,,,
2016,Технічні випробування та дослідження,,,,
2017,Технічні випробування та дослідження,,,,
2018,Технічні випробування та дослідження,,,,
2019,Технічні випробування та дослідження,,,,
2020,Технічні випробування та дослідження,,,,
2021,Технічні випробування та дослідження,,,,24.6
2022,Технічні випробування та дослідження,,,,25.9
2023,Технічні випробування та дослідження,,,,25.5
2024,Технічні випробування та дослідження,,,,27.0
2015,Дослідження й експериментальні розробки у сфері біотехнологій,,,,
2016,Дослідження й експериментальні розробки у сфері біотехнологій,,,,
2017,Дослідження й експериментальні розробки у сфері біотехнологій,,,,
2018,Дослідження й експериментальні розробки у сфері біотехнологій,,,,
2019,Дослідження й експериментальні розробки у сфері біотехнологій,,,,
2020,Дослідження й експериментальні розробки у сфері біотехнологій,,,,
2021,Дослідження й експериментальні розробки у сфері біотехнологій,,,,30.1
2022,Дослідження й експериментальні розробки у сфері біотехнологій,,,,26.9
2023,Дослідження й експериментальні розробки у сфері біотехнологій,,,,27.9
2024,Дослідження й експериментальні розробки у сфері біотехнологій,,,,30.7
2015,Дослідження й експериментальні розробки у сфері інших природничих і технічних наук,,,,
2016,Дослідження й експериментальні розробки у сфері інших природничих і технічних наук,,,,
2017,Дослідження й експериментальні розробки у сфері інших природничих і технічних наук,,,,
2018,Дослідження й експериментальні розробки у сфері інших природничих і технічних наук,,,,
2019,Дослідження й експериментальні розробки у сфері інших природничих і технічних наук,,,,
2020,Дослідження й експериментальні розробки у сфері інших природничих і технічних наук,,,,
2021,Дослідження й експериментальні розробки у сфері інших природничих і технічних наук,,,,19.9
2022,Дослідження й експериментальні розробки у сфері інших природничих і технічних наук,,,,20.0
2023,Дослідження й експериментальні розробки у сфері інших природничих і технічних наук,,,,21.1
2024,Дослідження й експериментальні розробки у сфері інших природничих і технічних наук,,,,22.2
2015,Дослідження й експериментальні розробки у сфері суспільних і гуманітарних наук,,,,
2016,Дослідження й експериментальні розробки у сфері суспільних і гуманітарних наук,,,,
2017,Дослідження й експериментальні розробки у сфері суспільних і гуманітарних наук,,,,
2018,Дослідження й експериментальні розробки у сфері суспільних і гуманітарних наук,,,,
2019,Дослідження й експериментальні розробки у сфері суспільних і гуманітарних наук,,,,
2020,Дослідження й експериментальні розробки у сфері суспільних і гуманітарних наук,,,,
2021,Дослідження й експериментальні розробки у сфері суспільних і гуманітарних наук,,,,34.1
2022,Дослідження й експериментальні розробки у сфері суспільних і гуманітарних наук,,,,35.9
2023,Дослідження й експериментальні розробки у сфері суспільних і гуманітарних наук,,,,36.1
2024,Дослідження й експериментальні розробки у сфері суспільних і гуманітарних наук,,,,32.8
2015,Рекламні агентства,,,,
2016,Рекламні агентства,,,,
2017,Рекламні агентства,,,,
2018,Рекламні агентства,,,,
2019,Рекламні агентства,,,,
2020,Рекламні агентства,,,,
2021,Рекламні агентства,,,,39.1
2022,Рекламні агентства,,,,39.9
2023,Рекламні агентства,,,,40.1
2024,Рекламні агентства,,,,43.0
2015,Посередництво в розміщенні реклами в засобах масової інформації,,,,
2016,Посередництво в розміщенні реклами в засобах масової інформації,,,,
2017,Посередництво в розміщенні реклами в засобах масової інформації,,,,
2018,Посередництво в розміщенні реклами в засобах масової інформації,,,,
2019,Посередництво в розміщенні реклами в засобах масової інформації,,,,
2020,Посередництво в розміщенні реклами в засобах масової інформації,,,,
2021,Посередництво в розміщенні реклами в засобах масової інформації,,,,43.3
2022,Посередництво в розміщенні реклами в засобах масової інформації,,,,41.8
2023,Посередництво в розміщенні реклами в засобах масової інформації,,,,42.2
2024,Посередництво в розміщенні реклами в засобах масової інформації,,,,44.0
2015,Дослідження кон'юнктури ринку та виявлення громадської думки,,,,
2016,Дослідження кон'юнктури ринку та виявлення громадської думки,,,,
2017,Дослідження кон'юнктури ринку та виявлення громадської думки,,,,
2018,Дослідження кон'юнктури ринку та виявлення громадської думки,,,,
2019,Дослідження кон'юнктури ринку та виявлення громадської думки,,,,
2020,Дослідження кон'юнктури ринку та виявлення громадської думки,,,,
2021,Дослідження кон'юнктури ринку та виявлення громадської думки,,,,34.8
2022,Дослідження кон'юнктури ринку та виявлення громадської думки,,,,34.5
2023,Дослідження кон'юнктури ринку та виявлення громадської думки,,,,34.5
2024,Дослідження кон'юнктури ринку та виявлення громадської думки,,,,38.6
2015,Спеціалізована діяльність із дизайну,,,,
2016,Спеціалізована діяльність із дизайну,,,,
2017,Спеціалізована діяльність із дизайну,,,,
2018,Спеціалізована діяльність із дизайну,,,,
2019,Спеціалізована діяльність із дизайну,,,,
2020,Спеціалізована діяльність із дизайну,,,,
2021,Спеціалізована діяльність із дизайну,,,,44.8
2022,Спеціалізована діяльність із дизайну,,,,44.3
2023,Спеціалізована діяльність із дизайну,,,,40.8
2024,Спеціалізована діяльність із дизайну,,,,42.4
2015,Діяльність у сфері фотографії,,,,
2016,Діяльність у сфері фотографії,,,,
2017,Діяльність у сфері фотографії,,,,
2018,Діяльність у сфері фотографії,,,,
2019,Діяльність у сфері фотографії,,,,
2020,Діяльність у сфері фотографії,,,,
2021,Діяльність у сфері фотографії,,,,32.5
2022,Діяльність у сфері фотографії,,,,30.3
2023,Діяльність у сфері фотографії,,,,34.6
2024,Діяльність у сфері фотографії,,,,33.7
2015,Надання послуг перекладу,,,,
2016,Надання послуг перекладу,,,,
2017,Надання послуг перекладу,,,,
2018,Надання послуг перекладу,,,,
2019,Надання послуг перекладу,,,,
2020,Надання послуг перекладу,,,,
2021,Надання послуг перекладу,,,,58.5
2022,Надання послуг перекладу,,,,56.3
2023,Надання послуг перекладу,,,,58.6
2024,Надання послуг перекладу,,,,62.2
2015,"Інша професійна, наукова та технічна діяльність, н.в.і.у.",,,,
2016,"Інша професійна, наукова та технічна діяльність, н.в.і.у.",,,,
2017,"Інша професійна, наукова та технічна діяльність, н.в.і.у.",,,,
2018,"Інша професійна, наукова та технічна діяльність, н.в.і.у.",,,,
2019,"Інша професійна, наукова та технічна діяльність, н.в.і.у.",,,,
2020,"Інша професійна, наукова та технічна діяльність, н.в.і.у.",,,,
2021,"Інша професійна, наукова та технічна діяльність, н.в.і.у.",,,,28.8
2022,"Інша професійна, наукова та технічна діяльність, н.в.і.у.",,,,28.7
2023,"Інша професійна, наукова та технічна діяльність, н.в.і.у.",,,,30.6
2024,"Інша професійна, наукова та технічна діяльність, н.в.і.у.",,,,32.4
2015,Ветеринарна діяльність,,,,
2016,Ветеринарна діяльність,,,,
2017,Ветеринарна діяльність,,,,
2018,Ветеринарна діяльність,,,,
2019,Ветеринарна діяльність,,,,
2020,Ветеринарна діяльність,,,,
2021,Ветеринарна діяльність,,,,34.3
2022,Ветеринарна діяльність,,,,34.2
2023,Ветеринарна діяльність,,,,37.4
2024,Ветеринарна діяльність,,,,39.5
2015,Надання в оренду автомобілів і легкових автотранспортних засобів,,,,
2016,Надання в оренду автомобілів і легкових автотранспортних засобів,,,,
2017,Надання в оренду автомобілів і легкових автотранспортних засобів,,,,
2018,Надання в оренду автомобілів і легкових автотранспортних засобів,,,,
2019,Надання в оренду автомобілів і легкових автотранспортних засобів,,,,
2020,Надання в оренду автомобілів і легкових автотранспортних засобів,,,,
2021,Надання в оренду автомобілів і легкових автотранспортних засобів,,,,25.6
2022,Надання в оренду автомобілів і легкових автотранспортних засобів,,,,27.3
2023,Надання в оренду автомобілів і легкових автотранспортних засобів,,,,30.0
2024,Надання в оренду автомобілів і легкових автотранспортних засобів,,,,31.0
2015,Надання в оренду вантажних автомобілів,,,,
2016,Надання в оренду вантажних автомобілів,,,,
2017,Надання в оренду вантажних автомобілів,,,,
2018,Надання в оренду вантажних автомобілів,,,,
2019,Надання в оренду вантажних автомобілів,,,,
2020,Надання в оренду вантажних автомобілів,,,,
2021,Надання в оренду вантажних автомобілів,,,,29.1
2022,Надання в оренду вантажних автомобілів,,,,30.9
2023,Надання в оренду вантажних автомобілів,,,,29.4
2024,Надання в оренду вантажних автомобілів,,,,29.7
2015,Прокат товарів для спорту та відпочинку,,,,
2016,Прокат товарів для спорту та відпочинку,,,,
2017,Прокат товарів для спорту та відпочинку,,,,
2018,Прокат товарів для спорту та відпочинку,,,,
2019,Прокат товарів для спорту та відпочинку,,,,
2020,Прокат товарів для спорту та відпочинку,,,,
2021,Прокат товарів для спорту та відпочинку,,,,22.0
2022,Прокат товарів для спорту та відпочинку,,,,20.0
2023,Прокат товарів для спорту та відпочинку,,,,25.0
2024,Прокат товарів для спорту та відпочинку,,,,29.3
2015,Прокат відеозаписів і дисків,,,,
2016,Прокат відеозаписів і дисків,,,,
2017,Прокат відеозаписів і дисків,,,,
2018,Прокат відеозаписів і дисків,,,,
2019,Прокат відеозаписів і дисків,,,,
2020,Прокат відеозаписів і дисків,,,,
2021,Прокат відеозаписів і дисків,,,,
2022,Прокат відеозаписів і дисків,,,,
2023,Прокат відеозаписів і дисків,,,,
2024,Прокат відеозаписів і дисків,,,,
2015,Прокат інших побутових виробів і предметів особистого вжитку,,,,
2016,Прокат інших побутових виробів і предметів особистого вжитку,,,,
2017,Прокат інших побутових виробів і предметів особистого вжитку,,,,
2018,Прокат інших побутових виробів і предметів особистого вжитку,,,,
2019,Прокат інших побутових виробів і предметів особистого вжитку,,,,
2020,Прокат інших побутових виробів і предметів особистого вжитку,,,,
2021,Прокат інших побутових виробів і предметів особистого вжитку,,,,26.4
2022,Прокат інших побутових виробів і предметів особистого вжитку,,,,28.6
2023,Прокат інших побутових виробів і предметів особистого вжитку,,,,40.5
2024,Прокат інших побутових виробів і предметів особистого вжитку,,,,41.9
2015,Надання в оренду сільськогосподарських машин і устатковання,,,,
2016,Надання в оренду сільськогосподарських машин і устатковання,,,,
2017,Надання в оренду сільськогосподарських машин і устатковання,,,,
2018,Надання в оренду сільськогосподарських машин і устатковання,,,,
2019,Надання в оренду сільськогосподарських машин і устатковання,,,,
2020,Надання в оренду сільськогосподарських машин і устатковання,,,,
2021,Надання в оренду сільськогосподарських машин і устатковання,,,,22.8
2022,Надання в оренду сільськогосподарських машин і устатковання,,,,25.0
2023,Надання в оренду сільськогосподарських машин і устатковання,,,,25.2
2024,Надання в оренду сільськогосподарських машин і устатковання,,,,26.6
2015,Надання в оренду будівельних машин і устатковання,,,,
2016,Надання в оренду будівельних машин і устатковання,,,,
2017,Надання в оренду будівельних машин і устатковання,,,,
2018,Надання в оренду будівельних машин і устатковання,,,,
2019,Надання в оренду будівельних машин і устатковання,,,,
2020,Надання в оренду будівельних машин і устатковання,,,,
2021,Надання в оренду будівельних машин і устатковання,,,,26.5
2022,Надання в оренду будівельних машин і устатковання,,,,23.4
2023,Надання в оренду будівельних машин і устатковання,,,,23.7
2024,Надання в оренду будівельних машин і устатковання,,,,26.0
2015,"Надання в оренду офісних машин і устатковання, у тому числі комп'ютерів",,,,
2016,"Надання в оренду офісних машин і устатковання, у тому числі комп'ютерів",,,,
2017,"Надання в оренду офісних машин і устатковання, у тому числі комп'ютерів",,,,
2018,"Надання в оренду офісних машин і устатковання, у тому числі комп'ютерів",,,,
2019,"Надання в оренду офісних машин і устатковання, у тому числі комп'ютерів",,,,
2020,"Надання в оренду офісних машин і устатковання, у тому числі комп'ютерів",,,,
2021,"Надання в оренду офісних машин і устатковання, у тому числі комп'ютерів",,,,36.7
2022,"Надання в оренду офісних машин і устатковання, у тому числі комп'ютерів",,,,36.9
2023,"Надання в оренду офісних машин і устатковання, у тому числі комп'ютерів",,,,34.7
2024,"Надання в оренду офісних машин і устатковання, у тому числі комп'ютерів",,,,34.7
2015,Надання в оренду водних транспортних засобів,,,,
2016,Надання в оренду водних транспортних засобів,,,,
2017,Надання в оренду водних транспортних засобів,,,,
2018,Надання в оренду водних транспортних засобів,,,,
2019,Надання в оренду водних транспортних засобів,,,,
2020,Надання в оренду водних транспортних засобів,,,,
2021,Надання в оренду водних транспортних засобів,,,,10.8
2022,Надання в оренду водних транспортних засобів,,,,15.6
2023,Надання в оренду водних транспортних засобів,,,,17.9
2024,Надання в оренду водних транспортних засобів,,,,20.7
2015,Надання в оренду повітряних транспортних засобів,,,,
2016,Надання в оренду повітряних транспортних засобів,,,,
2017,Надання в оренду повітряних транспортних засобів,,,,
2018,Надання в оренду повітряних транспортних засобів,,,,
2019,Надання в оренду повітряних транспортних засобів,,,,
2020,Надання в оренду повітряних транспортних засобів,,,,
2021,Надання в оренду повітряних транспортних засобів,,,,33.3
2022,Надання в оренду повітряних транспортних засобів,,,,25.0
2023,Надання в оренду повітряних транспортних засобів,,,,28.6
2024,Надання в оренду повітряних транспортних засобів,,,,33.3
2015,"Надання в оренду інших машин, устатковання та товарів, н.в.і.у.",,,,
2016,"Надання в оренду інших машин, устатковання та товарів, н.в.і.у.",,,,
2017,"Надання в оренду інших машин, устатковання та товарів, н.в.і.у.",,,,
2018,"Надання в оренду інших машин, устатковання та товарів, н.в.і.у.",,,,
2019,"Надання в оренду інших машин, устатковання та товарів, н.в.і.у.",,,,
2020,"Надання в оренду інших машин, устатковання та товарів, н.в.і.у.",,,,
2021,"Надання в оренду інших машин, устатковання та товарів, н.в.і.у.",,,,30.4
2022,"Надання в оренду інших машин, устатковання та товарів, н.в.і.у.",,,,29.9
2023,"Надання в оренду інших машин, устатковання та товарів, н.в.і.у.",,,,30.4
2024,"Надання в оренду інших машин, устатковання та товарів, н.в.і.у.",,,,31.8
2015,"Лізинг інтелектуальної власності та подібних продуктів, крім творів, захищених авторськими правами",,,,
2016,"Лізинг інтелектуальної власності та подібних продуктів, крім творів, захищених авторськими правами",,,,
2017,"Лізинг інтелектуальної власності та подібних продуктів, крім творів, захищених авторськими правами",,,,
2018,"Лізинг інтелектуальної власності та подібних продуктів, крім творів, захищених авторськими правами",,,,
2019,"Лізинг інтелектуальної власності та подібних продуктів, крім творів, захищених авторськими правами",,,,
2020,"Лізинг інтелектуальної власності та подібних продуктів, крім творів, захищених авторськими правами",,,,
2021,"Лізинг інтелектуальної власності та подібних продуктів, крім творів, захищених авторськими правами",,,,33.2
2022,"Лізинг інтелектуальної власності та подібних продуктів, крім творів, захищених авторськими правами",,,,33.3
2023,"Лізинг інтелектуальної власності та подібних продуктів, крім творів, захищених авторськими правами",,,,31.3
2024,"Лізинг інтелектуальної власності та подібних продуктів, крім творів, захищених авторськими правами",,,,40.6
2015,Діяльність агентств працевлаштування,,,,
2016,Діяльність агентств працевлаштування,,,,
2017,Діяльність агентств працевлаштування,,,,
2018,Діяльність агентств працевлаштування,,,,
2019,Діяльність агентств працевлаштування,,,,
2020,Діяльність агентств працевлаштування,,,,
2021,Діяльність агентств працевлаштування,,,,43.5
2022,Діяльність агентств працевлаштування,,,,44.8
2023,Діяльність агентств працевлаштування,,,,45.4
2024,Діяльність агентств працевлаштування,,,,47.5
2015,Діяльність агентств тимчасового працевлаштування,,,,
2016,Діяльність агентств тимчасового працевлаштування,,,,
2017,Діяльність агентств тимчасового працевлаштування,,,,
2018,Діяльність агентств тимчасового працевлаштування,,,,
2019,Діяльність агентств тимчасового працевлаштування,,,,
2020,Діяльність агентств тимчасового працевлаштування,,,,
2021,Діяльність агентств тимчасового працевлаштування,,,,48.2
2022,Діяльність агентств тимчасового працевлаштування,,,,43.1
2023,Діяльність агентств тимчасового працевлаштування,,,,42.6
2024,Діяльність агентств тимчасового працевлаштування,,,,47.6
2015,Інша діяльність із забезпечення трудовими ресурсами,,,,
2016,Інша діяльність із забезпечення трудовими ресурсами,,,,
2017,Інша діяльність із забезпечення трудовими ресурсами,,,,
2018,Інша діяльність із забезпечення трудовими ресурсами,,,,
2019,Інша діяльність із забезпечення трудовими ресурсами,,,,
2020,Інша діяльність із забезпечення трудовими ресурсами,,,,
2021,Інша діяльність із забезпечення трудовими ресурсами,,,,46.9
2022,Інша діяльність із забезпечення трудовими ресурсами,,,,49.3
2023,Інша діяльність із забезпечення трудовими ресурсами,,,,51.1
2024,Інша діяльність із забезпечення трудовими ресурсами,,,,56.1
2015,Діяльність туристичних агентств,,,,
2016,Діяльність туристичних агентств,,,,
2017,Діяльність туристичних агентств,,,,
2018,Діяльність туристичних агентств,,,,
2019,Діяльність туристичних агентств,,,,
2020,Діяльність туристичних агентств,,,,
2021,Діяльність туристичних агентств,,,,67.8
2022,Діяльність туристичних агентств,,,,68.4
2023,Діяльність туристичних агентств,,,,67.5
2024,Діяльність туристичних агентств,,,,68.7
2015,Діяльність туристичних операторів,,,,
2016,Діяльність туристичних операторів,,,,
2017,Діяльність туристичних операторів,,,,
2018,Діяльність туристичних операторів,,,,
2019,Діяльність туристичних операторів,,,,
2020,Діяльність туристичних операторів,,,,
2021,Діяльність туристичних операторів,,,,64.0
