Year,by types of economic activity,by the organisational and legal forms,Region,Number of employees,Value
2021,renting and leasing of other personal and household goods,,,,26.4
2022,renting and leasing of other personal and household goods,,,,28.6
2023,renting and leasing of other personal and household goods,,,,40.5
2024,renting and leasing of other personal and household goods,,,,41.9
2015,renting and leasing of agricultural machinery and equipment,,,,
2016,renting and leasing of agricultural machinery and equipment,,,,
2017,renting and leasing of agricultural machinery and equipment,,,,
2018,renting and leasing of agricultural machinery and equipment,,,,
2019,renting and leasing of agricultural machinery and equipment,,,,
2020,renting and leasing of agricultural machinery and equipment,,,,
2021,renting and leasing of agricultural machinery and equipment,,,,22.8
2022,renting and leasing of agricultural machinery and equipment,,,,25.0
2023,renting and leasing of agricultural machinery and equipment,,,,25.2
2024,renting and leasing of agricultural machinery and equipment,,,,26.6
2015,renting and leasing of construction and civil engineering machinery,,,,
2016,renting and leasing of construction and civil engineering machinery,,,,
2017,renting and leasing of construction and civil engineering machinery,,,,
2018,renting and leasing of construction and civil engineering machinery,,,,
2019,renting and leasing of construction and civil engineering machinery,,,,
2020,renting and leasing of construction and civil engineering machinery,,,,
2021,renting and leasing of construction and civil engineering machinery,,,,26.5
2022,renting and leasing of construction and civil engineering machinery,,,,23.4
2023,renting and leasing of construction and civil engineering machinery,,,,23.7
2024,renting and leasing of construction and civil engineering machinery,,,,26.0
2015,renting and leasing of office machinery and equipment (including computers),,,,
2016,renting and leasing of office machinery and equipment (including computers),,,,
2017,renting and leasing of office machinery and equipment (including computers),,,,
2018,renting and leasing of office machinery and equipment (including computers),,,,
2019,renting and leasing of office machinery and equipment (including computers),,,,
2020,renting and leasing of office machinery and equipment (including computers),,,,
2021,renting and leasing of office machinery and equipment (including computers),,,,36.7
2022,renting and leasing of office machinery and equipment (including computers),,,,36.9
2023,renting and leasing of office machinery and equipment (including computers),,,,34.7
2024,renting and leasing of office machinery and equipment (including computers),,,,34.7
2015,renting and leasing of water transport equipment,,,,
2016,renting and leasing of water transport equipment,,,,
2017,renting and leasing of water transport equipment,,,,
2018,renting and leasing of water transport equipment,,,,
2019,renting and leasing of water transport equipment,,,,
2020,renting and leasing of water transport equipment,,,,
2021,renting and leasing of water transport equipment,,,,10.8
2022,renting and leasing of water transport equipment,,,,15.6
2023,renting and leasing of water transport equipment,,,,17.9
2024,renting and leasing of water transport equipment,,,,20.7
2015,renting and leasing of air transport equipment,,,,
2016,renting and leasing of air transport equipment,,,,
2017,renting and leasing of air transport equipment,,,,
2018,renting and leasing of air transport equipment,,,,
2019,renting and leasing of air transport equipment,,,,
2020,renting and leasing of air transport equipment,,,,
2021,renting and leasing of air transport equipment,,,,33.3
2022,renting and leasing of air transport equipment,,,,25.0
2023,renting and leasing of air transport equipment,,,,28.6
2024,renting and leasing of air transport equipment,,,,33.3
2015,"renting and leasing of other machinery, equipment and tangible goods n.e.c.",,,,
2016,"renting and leasing of other machinery, equipment and tangible goods n.e.c.",,,,
2017,"renting and leasing of other machinery, equipment and tangible goods n.e.c.",,,,
2018,"renting and leasing of other machinery, equipment and tangible goods n.e.c.",,,,
2019,"renting and leasing of other machinery, equipment and tangible goods n.e.c.",,,,
2020,"renting and leasing of other machinery, equipment and tangible goods n.e.c.",,,,
2021,"renting and leasing of other machinery, equipment and tangible goods n.e.c.",,,,30.4
2022,"renting and leasing of other machinery, equipment and tangible goods n.e.c.",,,,29.9
2023,"renting and leasing of other machinery, equipment and tangible goods n.e.c.",,,,30.4
2024,"renting and leasing of other machinery, equipment and tangible goods n.e.c.",,,,31.8
2015,"leasing of intellectual property and similar products, except copyrighted works",,,,
2016,"leasing of intellectual property and similar products, except copyrighted works",,,,
2017,"leasing of intellectual property and similar products, except copyrighted works",,,,
2018,"leasing of intellectual property and similar products, except copyrighted works",,,,
2019,"leasing of intellectual property and similar products, except copyrighted works",,,,
2020,"leasing of intellectual property and similar products, except copyrighted works",,,,
2021,"leasing of intellectual property and similar products, except copyrighted works",,,,33.2
2022,"leasing of intellectual property and similar products, except copyrighted works",,,,33.3
2023,"leasing of intellectual property and similar products, except copyrighted works",,,,31.3
2024,"leasing of intellectual property and similar products, except copyrighted works",,,,40.6
2015,activities of employment placement agencies,,,,
2016,activities of employment placement agencies,,,,
2017,activities of employment placement agencies,,,,
2018,activities of employment placement agencies,,,,
2019,activities of employment placement agencies,,,,
2020,activities of employment placement agencies,,,,
2021,activities of employment placement agencies,,,,43.5
2022,activities of employment placement agencies,,,,44.8
2023,activities of employment placement agencies,,,,45.4
2024,activities of employment placement agencies,,,,47.5
2015,temporary employment agency activities,,,,
2016,temporary employment agency activities,,,,
2017,temporary employment agency activities,,,,
2018,temporary employment agency activities,,,,
2019,temporary employment agency activities,,,,
2020,temporary employment agency activities,,,,
2021,temporary employment agency activities,,,,48.2
2022,temporary employment agency activities,,,,43.1
2023,temporary employment agency activities,,,,42.6
2024,temporary employment agency activities,,,,47.6
2015,other human resources provision,,,,
2016,other human resources provision,,,,
2017,other human resources provision,,,,
2018,other human resources provision,,,,
2019,other human resources provision,,,,
2020,other human resources provision,,,,
2021,other human resources provision,,,,46.9
2022,other human resources provision,,,,49.3
2023,other human resources provision,,,,51.1
2024,other human resources provision,,,,56.1
2015,travel agency activities,,,,
2016,travel agency activities,,,,
2017,travel agency activities,,,,
2018,travel agency activities,,,,
2019,travel agency activities,,,,
2020,travel agency activities,,,,
2021,travel agency activities,,,,67.8
2022,travel agency activities,,,,68.4
2023,travel agency activities,,,,67.5
2024,travel agency activities,,,,68.7
2015,tour operator activities,,,,
2016,tour operator activities,,,,
2017,tour operator activities,,,,
2018,tour operator activities,,,,
2019,tour operator activities,,,,
2020,tour operator activities,,,,
2021,tour operator activities,,,,64.0
2022,tour operator activities,,,,64.2
2023,tour operator activities,,,,61.6
2024,tour operator activities,,,,62.7
2015,other reservation service and related activities,,,,
2016,other reservation service and related activities,,,,
2017,other reservation service and related activities,,,,
2018,other reservation service and related activities,,,,
2019,other reservation service and related activities,,,,
2020,other reservation service and related activities,,,,
2021,other reservation service and related activities,,,,46.9
2022,other reservation service and related activities,,,,46.9
2023,other reservation service and related activities,,,,50.4
2024,other reservation service and related activities,,,,51.8
2015,private security activities,,,,
2016,private security activities,,,,
2017,private security activities,,,,
2018,private security activities,,,,
2019,private security activities,,,,
2020,private security activities,,,,
2021,private security activities,,,,12.2
2022,private security activities,,,,11.9
2023,private security activities,,,,12.8
2024,private security activities,,,,15.4
2015,security systems service activities,,,,
2016,security systems service activities,,,,
2017,security systems service activities,,,,
2018,security systems service activities,,,,
2019,security systems service activities,,,,
2020,security systems service activities,,,,
2021,security systems service activities,,,,17.8
2022,security systems service activities,,,,17.5
2023,security systems service activities,,,,17.9
2024,security systems service activities,,,,19.9
2015,investigation activities,,,,
2016,investigation activities,,,,
2017,investigation activities,,,,
2018,investigation activities,,,,
2019,investigation activities,,,,
2020,investigation activities,,,,
2021,investigation activities,,,,12.7
2022,investigation activities,,,,14.9
2023,investigation activities,,,,12.2
2024,investigation activities,,,,11.1
2015,combined facilities support activities,,,,
2016,combined facilities support activities,,,,
2017,combined facilities support activities,,,,
2018,combined facilities support activities,,,,
2019,combined facilities support activities,,,,
2020,combined facilities support activities,,,,
2021,combined facilities support activities,,,,44.2
2022,combined facilities support activities,,,,44.3
2023,combined facilities support activities,,,,44.5
2024,combined facilities support activities,,,,45.0
2015,general cleaning of buildings,,,,
2016,general cleaning of buildings,,,,
2017,general cleaning of buildings,,,,
2018,general cleaning of buildings,,,,
2019,general cleaning of buildings,,,,
2020,general cleaning of buildings,,,,
2021,general cleaning of buildings,,,,40.8
2022,general cleaning of buildings,,,,42.4
2023,general cleaning of buildings,,,,40.4
2024,general cleaning of buildings,,,,45.7
2015,other building and industrial cleaning activities,,,,
2016,other building and industrial cleaning activities,,,,
2017,other building and industrial cleaning activities,,,,
2018,other building and industrial cleaning activities,,,,
2019,other building and industrial cleaning activities,,,,
2020,other building and industrial cleaning activities,,,,
2021,other building and industrial cleaning activities,,,,25.7
2022,other building and industrial cleaning activities,,,,27.8
2023,other building and industrial cleaning activities,,,,27.0
2024,other building and industrial cleaning activities,,,,28.5
2015,other cleaning activities,,,,
2016,other cleaning activities,,,,
2017,other cleaning activities,,,,
2018,other cleaning activities,,,,
2019,other cleaning activities,,,,
2020,other cleaning activities,,,,
2021,other cleaning activities,,,,24.6
2022,other cleaning activities,,,,25.0
2023,other cleaning activities,,,,23.9
2024,other cleaning activities,,,,24.5
2015,landscape service activities,,,,
2016,landscape service activities,,,,
2017,landscape service activities,,,,
2018,landscape service activities,,,,
2019,landscape service activities,,,,
2020,landscape service activities,,,,
2021,landscape service activities,,,,28.8
2022,landscape service activities,,,,28.8
2023,landscape service activities,,,,28.8
2024,landscape service activities,,,,28.8
2015,combined office administrative service activities,,,,
2016,combined office administrative service activities,,,,
2017,combined office administrative service activities,,,,
2018,combined office administrative service activities,,,,
2019,combined office administrative service activities,,,,
2020,combined office administrative service activities,,,,
2021,combined office administrative service activities,,,,43.9
2022,combined office administrative service activities,,,,33.0
2023,combined office administrative service activities,,,,37.8
2024,combined office administrative service activities,,,,46.5
2015,"photocopying, document preparation and other specialised office support activities",,,,
2016,"photocopying, document preparation and other specialised office support activities",,,,
2017,"photocopying, document preparation and other specialised office support activities",,,,
2018,"photocopying, document preparation and other specialised office support activities",,,,
2019,"photocopying, document preparation and other specialised office support activities",,,,
2020,"photocopying, document preparation and other specialised office support activities",,,,
2021,"photocopying, document preparation and other specialised office support activities",,,,46.2
2022,"photocopying, document preparation and other specialised office support activities",,,,41.4
2023,"photocopying, document preparation and other specialised office support activities",,,,62.5
2024,"photocopying, document preparation and other specialised office support activities",,,,44.4
2015,activities of call centres,,,,
2016,activities of call centres,,,,
2017,activities of call centres,,,,
2018,activities of call centres,,,,
2019,activities of call centres,,,,
2020,activities of call centres,,,,
2021,activities of call centres,,,,44.1
2022,activities of call centres,,,,39.2
2023,activities of call centres,,,,44.5
2024,activities of call centres,,,,45.7
2015,organisation of conventions and trade shows,,,,
2016,organisation of conventions and trade shows,,,,
2017,organisation of conventions and trade shows,,,,
2018,organisation of conventions and trade shows,,,,
2019,organisation of conventions and trade shows,,,,
2020,organisation of conventions and trade shows,,,,
2021,organisation of conventions and trade shows,,,,46.3
2022,organisation of conventions and trade shows,,,,47.8
2023,organisation of conventions and trade shows,,,,47.0
2024,organisation of conventions and trade shows,,,,48.4
2015,activities of collection agencies and credit bureaus,,,,
2016,activities of collection agencies and credit bureaus,,,,
2017,activities of collection agencies and credit bureaus,,,,
2018,activities of collection agencies and credit bureaus,,,,
2019,activities of collection agencies and credit bureaus,,,,
2020,activities of collection agencies and credit bureaus,,,,
2021,activities of collection agencies and credit bureaus,,,,14.5
2022,activities of collection agencies and credit bureaus,,,,14.6
2023,activities of collection agencies and credit bureaus,,,,21.6
2024,activities of collection agencies and credit bureaus,,,,31.8
2015,packaging activities,,,,
2016,packaging activities,,,,
2017,packaging activities,,,,
2018,packaging activities,,,,
2019,packaging activities,,,,
2020,packaging activities,,,,
2021,packaging activities,,,,30.4
2022,packaging activities,,,,31.7
2023,packaging activities,,,,34.6
2024,packaging activities,,,,33.3
2015,other business support service activities n.e.c.,,,,
2016,other business support service activities n.e.c.,,,,
2017,other business support service activities n.e.c.,,,,
2018,other business support service activities n.e.c.,,,,
2019,other business support service activities n.e.c.,,,,
2020,other business support service activities n.e.c.,,,,
2021,other business support service activities n.e.c.,,,,34.3
2022,other business support service activities n.e.c.,,,,33.4
2023,other business support service activities n.e.c.,,,,33.1
2024,other business support service activities n.e.c.,,,,33.5
2015,general government administration,,,,
2016,general government administration,,,,
2017,general government administration,,,,
2018,general government administration,,,,
2019,general government administration,,,,
2020,general government administration,,,,
2021,general government administration,,,,60.7
2022,general government administration,,,,60.8
2023,general government administration,,,,61.3
2024,general government administration,,,,62.2
2015,"regulation in the fields of health, education, culture and other social sectors, except compulsory social insurance",,,,
2016,"regulation in the fields of health, education, culture and other social sectors, except compulsory social insurance",,,,
2017,"regulation in the fields of health, education, culture and other social sectors, except compulsory social insurance",,,,
2018,"regulation in the fields of health, education, culture and other social sectors, except compulsory social insurance",,,,
2019,"regulation in the fields of health, education, culture and other social sectors, except compulsory social insurance",,,,
2020,"regulation in the fields of health, education, culture and other social sectors, except compulsory social insurance",,,,
2021,"regulation in the fields of health, education, culture and other social sectors, except compulsory social insurance",,,,72.7
2022,"regulation in the fields of health, education, culture and other social sectors, except compulsory social insurance",,,,73.5
2023,"regulation in the fields of health, education, culture and other social sectors, except compulsory social insurance",,,,75.3
2024,"regulation in the fields of health, education, culture and other social sectors, except compulsory social insurance",,,,75.5
2015,regulation and promotion of effective economic activity,,,,
2016,regulation and promotion of effective economic activity,,,,
2017,regulation and promotion of effective economic activity,,,,
2018,regulation and promotion of effective economic activity,,,,
2019,regulation and promotion of effective economic activity,,,,
2020,regulation and promotion of effective economic activity,,,,
2021,regulation and promotion of effective economic activity,,,,22.5
2022,regulation and promotion of effective economic activity,,,,23.1
2023,regulation and promotion of effective economic activity,,,,26.8
2024,regulation and promotion of effective economic activity,,,,30.1
2015,international activities,,,,
2016,international activities,,,,
2017,international activities,,,,
2018,international activities,,,,
2019,international activities,,,,
2020,international activities,,,,
2021,international activities,,,,19.2
2022,international activities,,,,23.3
2023,international activities,,,,21.9
2024,international activities,,,,21.4
2015,activities in the field of defense,,,,
2016,activities in the field of defense,,,,
2017,activities in the field of defense,,,,
2018,activities in the field of defense,,,,
2019,activities in the field of defense,,,,
2020,activities in the field of defense,,,,
2021,activities in the field of defense,,,,4.2
2022,activities in the field of defense,,,,4.1
2023,activities in the field of defense,,,,4.3
2024,activities in the field of defense,,,,4.6
2015,activities in the field of justice and justice,,,,
2016,activities in the field of justice and justice,,,,
2017,activities in the field of justice and justice,,,,
2018,activities in the field of justice and justice,,,,
2019,activities in the field of justice and justice,,,,
2020,activities in the field of justice and justice,,,,
2021,activities in the field of justice and justice,,,,54.1
2022,activities in the field of justice and justice,,,,54.6
2023,activities in the field of justice and justice,,,,53.8
2024,activities in the field of justice and justice,,,,53.5
2015,activities in the field of public order and safety,,,,
2016,activities in the field of public order and safety,,,,
2017,activities in the field of public order and safety,,,,
2018,activities in the field of public order and safety,,,,
2019,activities in the field of public order and safety,,,,
2020,activities in the field of public order and safety,,,,
2021,activities in the field of public order and safety,,,,3.0
2022,activities in the field of public order and safety,,,,3.3
2023,activities in the field of public order and safety,,,,3.8
2024,activities in the field of public order and safety,,,,4.0
2015,activities of fire services,,,,
2016,activities of fire services,,,,
2017,activities of fire services,,,,
2018,activities of fire services,,,,
2019,activities of fire services,,,,
2020,activities of fire services,,,,
2021,activities of fire services,,,,2.5
2022,activities of fire services,,,,2.3
2023,activities of fire services,,,,2.5
2024,activities of fire services,,,,2.5
2015,activities in the field of compulsory social insurance,,,,
2016,activities in the field of compulsory social insurance,,,,
2017,activities in the field of compulsory social insurance,,,,
2018,activities in the field of compulsory social insurance,,,,
2019,activities in the field of compulsory social insurance,,,,
2020,activities in the field of compulsory social insurance,,,,
2021,activities in the field of compulsory social insurance,,,,54.7
2022,activities in the field of compulsory social insurance,,,,56.8
2023,activities in the field of compulsory social insurance,,,,60.8
2024,activities in the field of compulsory social insurance,,,,65.1
2015,pre-primary education,,,,
2016,pre-primary education,,,,
2017,pre-primary education,,,,
2018,pre-primary education,,,,
2019,pre-primary education,,,,
2020,pre-primary education,,,,
2021,pre-primary education,,,,98.8
2022,pre-primary education,,,,98.9
2023,pre-primary education,,,,99.0
2024,pre-primary education,,,,99.0
2015,primary education,,,,
2016,primary education,,,,
2017,primary education,,,,
2018,primary education,,,,
2019,primary education,,,,
2020,primary education,,,,
2021,primary education,,,,89.5
2022,primary education,,,,90.1
2023,primary education,,,,89.7
2024,primary education,,,,89.7
2015,general secondary education,,,,
2016,general secondary education,,,,
2017,general secondary education,,,,
2018,general secondary education,,,,
2019,general secondary education,,,,
2020,general secondary education,,,,
2021,general secondary education,,,,72.3
2022,general secondary education,,,,73.4
2023,general secondary education,,,,74.0
2024,general secondary education,,,,74.4
2015,technical and vocational secondary education,,,,
2016,technical and vocational secondary education,,,,
2017,technical and vocational secondary education,,,,
2018,technical and vocational secondary education,,,,
2019,technical and vocational secondary education,,,,
2020,technical and vocational secondary education,,,,
2021,technical and vocational secondary education,,,,32.1
2022,technical and vocational secondary education,,,,32.0
2023,technical and vocational secondary education,,,,32.3
2024,technical and vocational secondary education,,,,33.8
2015,post-secondary non-tertiary education,,,,
2016,post-secondary non-tertiary education,,,,
2017,post-secondary non-tertiary education,,,,
2018,post-secondary non-tertiary education,,,,
2019,post-secondary non-tertiary education,,,,
2020,post-secondary non-tertiary education,,,,
2021,post-secondary non-tertiary education,,,,40.6
2022,post-secondary non-tertiary education,,,,40.7
2023,post-secondary non-tertiary education,,,,44.5
2024,post-secondary non-tertiary education,,,,43.7
2015,tertiary education,,,,
2016,tertiary education,,,,
2017,tertiary education,,,,
2018,tertiary education,,,,
2019,tertiary education,,,,
2020,tertiary education,,,,
2021,tertiary education,,,,26.7
2022,tertiary education,,,,27.4
2023,tertiary education,,,,26.7
2024,tertiary education,,,,27.6
2015,sports and recreation education,,,,
2016,sports and recreation education,,,,
2017,sports and recreation education,,,,
2018,sports and recreation education,,,,
2019,sports and recreation education,,,,
2020,sports and recreation education,,,,
2021,sports and recreation education,,,,24.0
2022,sports and recreation education,,,,23.0
2023,sports and recreation education,,,,24.3
2024,sports and recreation education,,,,24.3
2015,cultural education,,,,
2016,cultural education,,,,
2017,cultural education,,,,
2018,cultural education,,,,
2019,cultural education,,,,
2020,cultural education,,,,
2021,cultural education,,,,69.7
2022,cultural education,,,,70.1
2023,cultural education,,,,71.2
2024,cultural education,,,,72.5
2015,driving school activities,,,,
2016,driving school activities,,,,
2017,driving school activities,,,,
2018,driving school activities,,,,
2019,driving school activities,,,,
2020,driving school activities,,,,
2021,driving school activities,,,,26.5
2022,driving school activities,,,,26.3
2023,driving school activities,,,,28.3
2024,driving school activities,,,,30.7
2015,other education n.e.c.,,,,
2016,other education n.e.c.,,,,
2017,other education n.e.c.,,,,
2018,other education n.e.c.,,,,
2019,other education n.e.c.,,,,
2020,other education n.e.c.,,,,
2021,other education n.e.c.,,,,65.6
2022,other education n.e.c.,,,,66.7
2023,other education n.e.c.,,,,67.6
2024,other education n.e.c.,,,,68.5
2015,educational support activities,,,,
2016,educational support activities,,,,
2017,educational support activities,,,,
2018,educational support activities,,,,
2019,educational support activities,,,,
2020,educational support activities,,,,
2021,educational support activities,,,,75.5
2022,educational support activities,,,,75.4
2023,educational support activities,,,,79.5
2024,educational support activities,,,,78.5
2015,hospital activities,,,,
2016,hospital activities,,,,
2017,hospital activities,,,,
2018,hospital activities,,,,
2019,hospital activities,,,,
2020,hospital activities,,,,
2021,hospital activities,,,,37.4
2022,hospital activities,,,,39.1
2023,hospital activities,,,,40.3
2024,hospital activities,,,,41.5
2015,general medical practice activities,,,,
2016,general medical practice activities,,,,
2017,general medical practice activities,,,,
2018,general medical practice activities,,,,
2019,general medical practice activities,,,,
2020,general medical practice activities,,,,
2021,general medical practice activities,,,,50.5
2022,general medical practice activities,,,,51.4
2023,general medical practice activities,,,,51.8
2024,general medical practice activities,,,,53.4
2015,specialist medical practice activities,,,,
2016,specialist medical practice activities,,,,
2017,specialist medical practice activities,,,,
2018,specialist medical practice activities,,,,
2019,specialist medical practice activities,,,,
2020,specialist medical practice activities,,,,
2021,specialist medical practice activities,,,,45.9
2022,specialist medical practice activities,,,,44.6
2023,specialist medical practice activities,,,,45.7
2024,specialist medical practice activities,,,,49.0
2015,dental practice activities,,,,
2016,dental practice activities,,,,
2017,dental practice activities,,,,
2018,dental practice activities,,,,
2019,dental practice activities,,,,
2020,dental practice activities,,,,
2021,dental practice activities,,,,44.7
2022,dental practice activities,,,,44.8
2023,dental practice activities,,,,45.2
2024,dental practice activities,,,,47.3
2015,other human health activities,,,,
2016,other human health activities,,,,
2017,other human health activities,,,,
2018,other human health activities,,,,
2019,other human health activities,,,,
2020,other human health activities,,,,
2021,other human health activities,,,,57.7
2022,other human health activities,,,,59.3
2023,other human health activities,,,,60.0
2024,other human health activities,,,,60.0
2015,residential nursing care activities,,,,
2016,residential nursing care activities,,,,
2017,residential nursing care activities,,,,
2018,residential nursing care activities,,,,
2019,residential nursing care activities,,,,
2020,residential nursing care activities,,,,
2021,residential nursing care activities,,,,32.6
2022,residential nursing care activities,,,,29.3
2023,residential nursing care activities,,,,28.6
2024,residential nursing care activities,,,,35.7
2015,"residential care activities for mental retardation, mental health and substance abuse",,,,
2016,"residential care activities for mental retardation, mental health and substance abuse",,,,
2017,"residential care activities for mental retardation, mental health and substance abuse",,,,
2018,"residential care activities for mental retardation, mental health and substance abuse",,,,
2019,"residential care activities for mental retardation, mental health and substance abuse",,,,
2020,"residential care activities for mental retardation, mental health and substance abuse",,,,
2021,"residential care activities for mental retardation, mental health and substance abuse",,,,22.2
2022,"residential care activities for mental retardation, mental health and substance abuse",,,,24.0
2023,"residential care activities for mental retardation, mental health and substance abuse",,,,24.9
2024,"residential care activities for mental retardation, mental health and substance abuse",,,,24.2
2015,residential care activities for the elderly and disabled,,,,
2016,residential care activities for the elderly and disabled,,,,
2017,residential care activities for the elderly and disabled,,,,
2018,residential care activities for the elderly and disabled,,,,
2019,residential care activities for the elderly and disabled,,,,
2020,residential care activities for the elderly and disabled,,,,
2021,residential care activities for the elderly and disabled,,,,52.6
2022,residential care activities for the elderly and disabled,,,,52.2
2023,residential care activities for the elderly and disabled,,,,52.4
2024,residential care activities for the elderly and disabled,,,,52.0
2015,other residential care activities,,,,
2016,other residential care activities,,,,
2017,other residential care activities,,,,
2018,other residential care activities,,,,
2019,other residential care activities,,,,
2020,other residential care activities,,,,
2021,other residential care activities,,,,51.6
2022,other residential care activities,,,,51.0
2023,other residential care activities,,,,50.9
2024,other residential care activities,,,,50.5
2015,social work activities without accommodation for the elderly and disabled,,,,
2016,social work activities without accommodation for the elderly and disabled,,,,
2017,social work activities without accommodation for the elderly and disabled,,,,
2018,social work activities without accommodation for the elderly and disabled,,,,
2019,social work activities without accommodation for the elderly and disabled,,,,
2020,social work activities without accommodation for the elderly and disabled,,,,
2021,social work activities without accommodation for the elderly and disabled,,,,72.7
2022,social work activities without accommodation for the elderly and disabled,,,,74.0
2023,social work activities without accommodation for the elderly and disabled,,,,75.4
2024,social work activities without accommodation for the elderly and disabled,,,,75.8
2015,child day-care activities,,,,
2016,child day-care activities,,,,
2017,child day-care activities,,,,
2018,child day-care activities,,,,
2019,child day-care activities,,,,
2020,child day-care activities,,,,
2021,child day-care activities,,,,87.1
2022,child day-care activities,,,,83.0
2023,child day-care activities,,,,84.8
2024,child day-care activities,,,,84.6
2015,other social work activities without accommodation n.e.c.,,,,
2016,other social work activities without accommodation n.e.c.,,,,
2017,other social work activities without accommodation n.e.c.,,,,
2018,other social work activities without accommodation n.e.c.,,,,
2019,other social work activities without accommodation n.e.c.,,,,
2020,other social work activities without accommodation n.e.c.,,,,
2021,other social work activities without accommodation n.e.c.,,,,40.9
2022,other social work activities without accommodation n.e.c.,,,,38.4
2023,other social work activities without accommodation n.e.c.,,,,37.6
2024,other social work activities without accommodation n.e.c.,,,,37.3
2015,performing arts,,,,
2016,performing arts,,,,
2017,performing arts,,,,
2018,performing arts,,,,
2019,performing arts,,,,
2020,performing arts,,,,
2021,performing arts,,,,61.6
2022,performing arts,,,,62.2
2023,performing arts,,,,64.2
2024,performing arts,,,,65.2
2015,support activities to performing arts,,,,
2016,support activities to performing arts,,,,
2017,support activities to performing arts,,,,
2018,support activities to performing arts,,,,
2019,support activities to performing arts,,,,
2020,support activities to performing arts,,,,
2021,support activities to performing arts,,,,59.8
2022,support activities to performing arts,,,,62.6
2023,support activities to performing arts,,,,63.4
2024,support activities to performing arts,,,,63.5
2015,artistic creation,,,,
2016,artistic creation,,,,
2017,artistic creation,,,,
2018,artistic creation,,,,
2019,artistic creation,,,,
2020,artistic creation,,,,
2021,artistic creation,,,,42.1
2022,artistic creation,,,,34.6
2023,artistic creation,,,,40.5
2024,artistic creation,,,,45.5
2015,operation of arts facilities,,,,
2016,operation of arts facilities,,,,
2017,operation of arts facilities,,,,
2018,operation of arts facilities,,,,
2019,operation of arts facilities,,,,
2020,operation of arts facilities,,,,
2021,operation of arts facilities,,,,72.5
2022,operation of arts facilities,,,,72.5
2023,operation of arts facilities,,,,72.4
2024,operation of arts facilities,,,,73.2
2015,library and archives activities,,,,
2016,library and archives activities,,,,
2017,library and archives activities,,,,
2018,library and archives activities,,,,
2019,library and archives activities,,,,
2020,library and archives activities,,,,
2021,library and archives activities,,,,93.1
2022,library and archives activities,,,,93.4
2023,library and archives activities,,,,93.1
2024,library and archives activities,,,,93.2
2015,museums activities,,,,
2016,museums activities,,,,
2017,museums activities,,,,
2018,museums activities,,,,
2019,museums activities,,,,
2020,museums activities,,,,
2021,museums activities,,,,62.6
2022,museums activities,,,,64.5
2023,museums activities,,,,64.9
2024,museums activities,,,,65.4
2015,operation of historical sites and buildings and similar visitor attractions,,,,
2016,operation of historical sites and buildings and similar visitor attractions,,,,
2017,operation of historical sites and buildings and similar visitor attractions,,,,
2018,operation of historical sites and buildings and similar visitor attractions,,,,
2019,operation of historical sites and buildings and similar visitor attractions,,,,
2020,operation of historical sites and buildings and similar visitor attractions,,,,
2021,operation of historical sites and buildings and similar visitor attractions,,,,40.9
2022,operation of historical sites and buildings and similar visitor attractions,,,,43.3
2023,operation of historical sites and buildings and similar visitor attractions,,,,47.0
2024,operation of historical sites and buildings and similar visitor attractions,,,,49.3
2015,botanical and zoological gardens and nature reserves activities,,,,
2016,botanical and zoological gardens and nature reserves activities,,,,
2017,botanical and zoological gardens and nature reserves activities,,,,
2018,botanical and zoological gardens and nature reserves activities,,,,
2019,botanical and zoological gardens and nature reserves activities,,,,
2020,botanical and zoological gardens and nature reserves activities,,,,
2021,botanical and zoological gardens and nature reserves activities,,,,23.1
2022,botanical and zoological gardens and nature reserves activities,,,,23.1
2023,botanical and zoological gardens and nature reserves activities,,,,24.2
2024,botanical and zoological gardens and nature reserves activities,,,,24.7
2015,gambling and betting activities,,,,
2016,gambling and betting activities,,,,
2017,gambling and betting activities,,,,
2018,gambling and betting activities,,,,
2019,gambling and betting activities,,,,
2020,gambling and betting activities,,,,
2021,gambling and betting activities,,,,23.8
2022,gambling and betting activities,,,,24.7
2023,gambling and betting activities,,,,14.8
2024,gambling and betting activities,,,,15.2
2015,operation of sports facilities,,,,
2016,operation of sports facilities,,,,
2017,operation of sports facilities,,,,
2018,operation of sports facilities,,,,
2019,operation of sports facilities,,,,
2020,operation of sports facilities,,,,
2021,operation of sports facilities,,,,17.0
2022,operation of sports facilities,,,,19.0
2023,operation of sports facilities,,,,18.2
2024,operation of sports facilities,,,,20.3
2015,activities of sport clubs,,,,
2016,activities of sport clubs,,,,
2017,activities of sport clubs,,,,
2018,activities of sport clubs,,,,
2019,activities of sport clubs,,,,
2020,activities of sport clubs,,,,
2021,activities of sport clubs,,,,12.7
2022,activities of sport clubs,,,,12.6
2023,activities of sport clubs,,,,12.6
2024,activities of sport clubs,,,,11.8
2015,fitness facilities,,,,
2016,fitness facilities,,,,
2017,fitness facilities,,,,
2018,fitness facilities,,,,
2019,fitness facilities,,,,
2020,fitness facilities,,,,
2021,fitness facilities,,,,44.4
2022,fitness facilities,,,,37.7
2023,fitness facilities,,,,39.0
2024,fitness facilities,,,,48.2
2015,other sports activities,,,,
2016,other sports activities,,,,
2017,other sports activities,,,,
2018,other sports activities,,,,
2019,other sports activities,,,,
2020,other sports activities,,,,
2021,other sports activities,,,,17.4
2022,other sports activities,,,,16.8
2023,other sports activities,,,,17.3
2024,other sports activities,,,,18.8
